Title, Platform, Date 
The Sinking City, PlayStation 5, 2021-02-19 
3D Billiards: Pool & Snooker Remastered, PlayStation 5, 2021-02-19 
Anodyne 2: Return to Dust, PlayStation 5, 2021-02-18 
UltraGoodness 2, PlayStation 5, 2021-02-9 
The Nioh Collection, PlayStation 5, 2021-02-5 
Nioh 2 Remastered: The Complete Edition, PlayStation 5, 2021-02-5 
Nioh Remastered: The Complete Edition, PlayStation 5, 2021-02-5 
Werewolf: The Apocalypse - Earthblood, PlayStation 5, 2021-02-4 
Destruction AllStars, PlayStation 5, 2021-02-2 
Control: Ultimate Edition, PlayStation 5, 2021-02-2 
The Pedestrian, PlayStation 5, 2021-01-29 
Mobile Suit Gundam: Battle Operation 2, PlayStation 5, 2021-01-28 
Immortals Fenyx Rising: A New God, PlayStation 5, 2021-01-28 
The Dark Eye: Chains of Satinav, PlayStation 5, 2021-01-27 
Atelier Ryza 2: Lost Legends & the Secret Fairy, PlayStation 5, 2021-01-26 
Cyber Shadow, PlayStation 5, 2021-01-26 
Renzo Racer, PlayStation 5, 2021-01-25 
Panda Hero Remastered, PlayStation 5, 2021-01-22 
RIDE 4, PlayStation 5, 2021-01-21 
Maiden, PlayStation 5, 2021-01-21 
Hitman 3, PlayStation 5, 2021-01-20 
Crimsonland, PlayStation 5, 2021-01-20 
MXGP 2020 - The Official Motocross Videogame, PlayStation 5, 2021-01-14 
Neon Chrome, PlayStation 5, 2021-01-13 
Outbreak: Lost Hope, PlayStation 5, 2021-01-7 
Outbreak: The Nightmare Chronicles, PlayStation 5, 2020-12-31 
Outbreak: Epidemic, PlayStation 5, 2020-12-24 
Override 2: Super Mech League, PlayStation 5, 2020-12-22 
Infliction: Extended Cut, PlayStation 5, 2020-12-22 
Sparkle 2, PlayStation 5, 2020-12-21 
Outbreak: The New Nightmare, PlayStation 5, 2020-12-17 
Sparkle Unleashed, PlayStation 5, 2020-12-16 
Bridge Constructor: The Walking Dead, PlayStation 5, 2020-12-15 
CRSED: F.O.A.D., PlayStation 5, 2020-12-15 
Shakedown Hawaii, PlayStation 5, 2020-12-15 
Freddy Spaghetti, PlayStation 5, 2020-12-15 
Vigor, PlayStation 5, 2020-12-9 
Puyo Puyo Tetris 2, PlayStation 5, 2020-12-8 
Destiny 2, PlayStation 5, 2020-12-8 
Twin Robots: Ultimate Edition, PlayStation 5, 2020-12-7 
Madden NFL 21, PlayStation 5, 2020-12-4 
FIFA 21 NXT LVL EDITION, PlayStation 5, 2020-12-4 
Tesla vs Lovecraft, PlayStation 5, 2020-12-4 
Immortals Fenyx Rising, PlayStation 5, 2020-12-3 
Haven, PlayStation 5, 2020-12-3 
Worms Rumble, PlayStation 5, 2020-12-1 
Tom Clancy's Rainbow Six Siege, PlayStation 5, 2020-12-1 
Dead by Daylight: A Binding of Kin, PlayStation 5, 2020-12-1 
Warframe, PlayStation 5, 2020-11-26 
Spirit of the North: Enhanced Edition, PlayStation 5, 2020-11-26 
Just Dance 2021, PlayStation 5, 2020-11-24 
Tesla Force, PlayStation 5, 2020-11-24 
